Organization Name,Case Number,Patient ID,Common Species Name,Date Admitted,Circumstances of Rescue,Rescue State,Rescue Juristiction,Rescue Address,Other Rescue Information,Latitude,Longitude,Elevation,Disposition
Wildlife Center of Virginia,23-0017068,DOA23-0051,Canada Goose,5/13/2023,Collision / Moving object / Car/truck/motorcycle,VA,Waynesboro (City),"1028 Albemarle Ave, Waynesboro, VA 22980, USA",,38.05308914,-78.89945221,417.6998901,Died
Wildlife Center of Virginia,20-0074746,20-3415,Cooper's Hawk,10/10/2020,Collision / Moving object / Car/truck/motorcycle,VA,Amherst County,"103 Barrington Dr, Madison Heights, VA 24572, USA",,37.4803621,-79.0725998,233.2591858,Euthanized
Wildlife Center of Virginia,20-0000711,20-0005,Sharp-shinned Hawk,1/4/2020,Collision / Moving object / Car/truck/motorcycle,VA,Augusta County,"103 Idlewood Blvd, Staunton, VA 24401, USA",,38.1141621,-78.9998908,429.3036194,Euthanized
Wildlife Center of Virginia,18-0128305,18-2237,Eastern Box Turtle,7/28/2018,Collision / Moving object / Car/truck/motorcycle,VA,Buckingham County,"1030 Main St, Dillwyn, VA 23936, USA",,37.5424751,-78.4570169,191.4200439,Euthanized
Wildlife Center of Virginia,22-0039337,22-2350,Eastern Box Turtle,7/14/2022,Collision / Moving object / Car/truck/motorcycle,VA,Chesterfield County,"10305 Foyle Dr, Chesterfield, VA 23832, USA",,37.37072372,-77.63566589,85.16737366,Euthanized
Wildlife Center of Virginia,20-0060355,20-2813,Cooper's Hawk,8/8/2020,Collision / Moving object / Car/truck/motorcycle,VA,Henrico County,"10309 Collinwood Dr, Richmond, VA 23238, USA",,37.6022034,-77.599304,58.87926102,Euthanized
Wildlife Center of Virginia,15-0058685,15-2190,European Starling,10/22/2015,Collision / Moving object / Car/truck/motorcycle,VA,Staunton (City),"1031 Ridgemont Dr, Staunton, VA 24401, USA",,38.161476,-79.054085,439.9227295,Died
Wildlife Center of Virginia,23-0008276,23-0437,Eastern Painted Turtle,4/2/2023,Collision / Moving object / Car/truck/motorcycle,VA,Rockingham County,"10333 Browns Gap Rd, Grottoes, VA 24441, USA",,38.2596817,-78.79554749,385.0587463,Euthanized
Wildlife Center of Virginia,15-0005865,15-0120,Eastern Screech-Owl,2/24/2015,Collision / Moving object / Car/truck/motorcycle,VA,Campbell County,"1035 Johnson Creek Road, Evington, VA 24550, USA",,37.2020237,-79.3239159,187.9797668,Euthanized
Wildlife Center of Virginia,17-0029632,17-1290,Black Vulture,6/4/2017,Collision / Moving object / Car/truck/motorcycle,VA,Rockbridge County,"1035 Kanawha St, Glasgow, VA 24555, USA",,37.6288618,-79.4541522,222.1096802,Euthanized
Wildlife Center of Virginia,17-0037340,17-1540,Eastern Screech-Owl,6/23/2017,Collision / Moving object / Car/truck/motorcycle,VA,Charlottesville (City),"1035 Owensville Rd, Charlottesville, VA 22901, USA",,38.065485,-78.588522,162,Died
Wildlife Center of Virginia,16-0078226,16-2537,Cooper's Hawk,12/20/2016,Collision / Moving object / Car/truck/motorcycle,VA,Bedford County,"1038 Greenside Ct, Forest, VA 24551, USA",,37.296337,-79.3100475,267.4622192,Died
Wildlife Center of Virginia,23-0080514,23-3607,Eastern Cottontail,10/4/2023,Collision / Moving object / Car/truck/motorcycle,VA,Augusta County,"1038 Indian Ridge Rd, Stuarts Draft, VA 24477, USA",,38.02254868,-79.11422729,487.2963867,Euthanized
Wildlife Center of Virginia,22-0018982,22-1045,Mourning Dove,5/14/2022,Collision / Moving object / Car/truck/motorcycle,VA,Richmond (City),"1039 S Providence Rd, Richmond, VA 23236, USA",,37.48111343,-77.55290985,77.61774445,Euthanized
Wildlife Center of Virginia,22-0001102,22-0015,Sharp-shinned Hawk,1/8/2022,Collision / Moving object / Car/truck/motorcycle,VA,Rockbridge County,"104 Hayslette Rd, Lexington, VA 24450, USA",,37.79065323,-79.60031128,409.0700989,Euthanized
Wildlife Center of Virginia,23-0070085,23-2927,Eastern Box Turtle,8/9/2023,Collision / Moving object / Car/truck/motorcycle,VA,Augusta County,"104 Valley View Ave, Mt Sidney, VA 24467, USA",,38.26093674,-78.96120453,412.0470276,Euthanized
Wildlife Center of Virginia,19-0072099,19-3141,eastern gray squirrel,10/28/2019,Collision / Moving object / Car/truck/motorcycle,VA,Staunton (City),"104 VSDB Dr, Staunton, VA 24401, USA",,38.151525,-79.064695,428.4641724,Euthanized
Wildlife Center of Virginia,21-0061607,21-3285,Eastern Box Turtle,9/17/2021,Collision / Moving object / Car/truck/motorcycle,VA,Louisa County,"10435 Louisa Rd, Gordonsville, VA 22942, USA",Rescuer used GPS coordinates to approximate physical address,38.07342529,-78.19698334,155.0011139,Transferred
Wildlife Center of Virginia,18-0025636,18-0963,Red Fox,5/20/2018,Collision / Moving object / Car/truck/motorcycle,VA,Augusta County,"1045 Old White Bridge Rd, Waynesboro, VA 22980, USA",,38.109174,-78.909111,416.9238281,Euthanized
Wildlife Center of Virginia,18-0004611,18-0048,Snapping Turtle,1/23/2018,Collision / Moving object / Car/truck/motorcycle,VA,Nelson County,"10460 Critzer Shop Rd, Afton, VA 22920, USA",,38.0012622,-78.8272187,249.3574982,Euthanized
Wildlife Center of Virginia,20-0059606,20-2769,Eastern Box Turtle,8/6/2020,Collision / Moving object / Car/truck/motorcycle,VA,Fluvanna County,"105 Ducks Lake Ridge, Scottsville, VA 24590, USA",,37.8855984,-78.410895,158.6732025,Released
